"Screen name","Full name",Location,Followers,Friends,Created,Tweets,"Last tweet",Bio,URL,"% tweets w/ URLs","% retweets in timeline","% tweets w @contacts","Social Authority","Follows @JackTreseler","@JackTreseler follows"
MorrisseyHelena,"Helena Morrissey","London UK","15,957","1,972","19 Sep 2011 13:02:53","8,780","02 Aug 2016 13:06:53","CEO @newtonim, Chair @InvAssoc. Wife of @handofflowers, mother of 9. Working for change with @30percentclub & @bitcgender. My views are personal, not corporate.",http://www.30percentclub.org,11.5,78.5,7.5,64.4,,
MarkTercek,"Mark Tercek","Washington, DC","14,539","6,169","31 Jan 2012 20:08:39","6,397","09 Aug 2016 02:02:12","Grateful to hold best job in the world - CEO of the Nature Conservancy. Also, happy family man, amateur yogi, ice climber, vegan & author of Nature's Fortune.",http://bit.ly/1Ova3Z2,54.5,43,1.5,64.4,,
GonzalezCarmen,"Carmen Gonzalez","Woodcliff Lake, NJ","2,032",15,"03 Aug 2009 12:29:07","74,504","14 Aug 2016 20:04:30","Co-founder, President & CEO SYS-CON Media, Ulitzer, Inc., and Cloud Expo, Inc.",http://CarmenGonzalez.Ulitzer.com,0,99.5,0,62.9,,
NoSeasGoey,"No seas goey.","CEO de Guanajuato.","12,706",226,"23 Apr 2010 16:41:07","21,774","11 Aug 2016 02:01:13","El Científico del Tuit. Instagram/Vine: NoSeasGoey",,6.5,19.5,10,64.4,,
RashadBukhash,"R.Bukhash رشاد بوخش",rbukhash@gmail.com,"21,617",360,"14 Aug 2011 05:51:52","36,177","03 Aug 2016 02:07:26","المدير التنفيذي لإدارة التراث العمراني والآثار- بلدية دبي، رئيس جمعية التراث العمراني CEO Architectural heritage & antiquities dept.Dubai municipality",,8.5,45.5,9.5,64.4,,
MrJamesFortune,"James Fortune","iPhone: 29.674812,-95.543877","246,054","2,269","08 Apr 2009 04:46:57","59,019","09 Aug 2016 23:59:53","For booking Call 912.484.7819 2 time Grammy Nominee, 3 time Stellar Award winner, 9 time ASCAP award winning songwriter, President & CEO of FIYAWORLD Music!",http://jamesfortunemusic.com,40.7,39.7,14.6,64.4,,
DavidGalanBolsa,"David Galán",,"6,657","1,048","15 Mar 2012 12:46:15","14,345","15 Aug 2016 20:31:06","Trader. CEO Bolsa General Asesores y Coautor de El pequeño libro de los grandes inversores. Ed Alienta (Grupo Planeta) https://t.co/XPwnnFrO3t",http://www.bolsageneral.es,45,22,30.5,64.4,,
NikaStewart,"Nika Stewart","NJ, NYC, & worldwide","63,909","38,367","18 Dec 2007 16:30:29","64,836","15 Aug 2016 18:02:53","CEO of Ghost Tweeting, #SocialMedia agency for entrepreneurs and thought leaders. HuffPost blogger. Lover of margaritas. And sarcasm.",http://www.GhostTweeting.com,51.5,5,0,64.8,,
syedbalkhi,"Syed Balkhi","West Palm Beach, FL","87,356","75,560","14 Sep 2008 08:09:19","22,139","16 Aug 2016 01:05:06","Award Winning Entrepreneur. Marketer. CEO of Awesome Motive. The guy behind @wpbeginner @list25 @optinmonster @soliloquywp @enviragallery @easywpforms etc.",https://syedbalkhi.com/,43.5,1,21.5,64.4,,
CoachJuanma,"Juan Manuel Pérez",Iberoamérica,"68,063","67,502","25 May 2013 03:46:06","9,303","13 Aug 2016 14:48:28","Pedagogo y Coach Profesional, Coach Trainer y especialista en Desarrollo Humano. Director de @iacvenezuela. CEO @ACP_Coaching #ViveLasMaestrías",http://www.acpcoaching.net/,4,8.5,0,64.4,,
conservateurgen,"Conservateur Général",Paris,729,278,"24 Jun 2013 17:41:40","10,716","28 Jul 2016 20:16:34","Jean-Raymond Lalande, Conservateur général des bibliothèques, alias Le Grand Cons' avec une chaussure noire, CEO certifié CHP",,0,0,0,64.4,,
iMarketingHub,"Marketing Strategy",,"24,170","2,492","15 Aug 2013 11:58:05","6,286","10 Aug 2016 16:00:37","Sharing tools that #BusinessOwners need to drive your #business forward. Tweets on relevant info from CEO leaders,#marketing gurus, influencers & #entrepreneurs",,88.5,0,0,64.4,,
gr8D,"Donovan Watts","Georgia, USA",780,746,"04 May 2009 00:22:48","11,561","10 Aug 2016 19:24:36","Proud father and husband. Founder and CEO of McMiley and Co.",,0,0,0,64.4,,
50TysonOfficial,"50 Tyson","Minneapolis, Minnesota","60,399","65,602","29 Aug 2010 04:02:17","99,974","14 Aug 2016 23:47:35","For Booking Or All 50 Tyson Info Please Contact ~ @TheKingLilLank Or Tyson.50MG@yahoo.com #50IsBack On #iTunes & #DatPiff & CEO Of #50MG",http://50tyson.spreadshirt.com/,7,44.5,33.5,64.4,,
lehtinen_esa,"Esa Lehtinen",Hämeenlinna,"3,938","3,823","21 Feb 2013 10:30:48","8,718","27 Jul 2016 12:59:06","CEO, Leadership and management consultant. I'm interested in different cultures, travelling, society and the pleasures of life.",http://esalehtinen.blogit.hameensanomat.fi/,48.5,1.5,37.5,64.4,,
Lord_Danix,"Daniel Ramos","El bajo lúgubre",626,126,"04 Dec 2009 23:16:45","38,760","24 Jul 2016 22:18:27","Licenciado en ciencias bizarras Politorpe en todo arte CEO de @ArrebatoGarabato https://t.co/0o9wknAFGc commisions lorddanix@gmail.com",https://www.youtube.com/channel/UCtf3uBIgm1D57uH8JPRtvxw,0,0,0,64.4,,
TinaBrownLM,"Tina Brown","New York, NY","90,791",987,"08 Mar 2010 19:40:56","1,702","15 Aug 2016 13:19:42","President & CEO, Tina Brown Live Media / Founder, @WomenintheWorld",http://www.nytimes.com/womenintheworld,56.5,9.5,5,64.3,,
encub8dean,"Dean Chapman","Farnborough, Hampshire","2,263",654,"17 Nov 2015 21:36:16","1,139","04 Aug 2016 18:01:57","Founder of Fedr8. CEO, CCO, NED & Board Advisor. Interested in #cloud #digital #innovation, #startup #scaleup #automation #robotics #RPA and all things tech.",,85.5,14,1,62.4,,
leplan,Leplan,Bangalore,"50,692",106,"02 Dec 2008 07:44:20","25,816","15 Aug 2016 15:45:47","CEO at Dogsee Chew - World's only Super Food for Dogs. Tweets are personal. ReTweets are not endorsements.",http://dogseechew.com/,19.6,79.9,8,64.8,,
DjekicAaron,"Aaron Djekic",Toronto,"45,135","19,572","05 Apr 2013 00:26:28","30,392","31 Jul 2016 09:36:37","#Crowdfunding expert/CEO Crowdclan/Entrepreneur/Investor",http://www.crowdclan.com,100,0,0.5,64.3,,
mr_leadership,"joseph fred","Lagos. Nigeria","12,356","9,878","18 Mar 2011 12:52:52","207,075","06 Aug 2016 08:04:51","Author & Speaker On Leadership. Trainer. Coach. CEO Mr Leadership Consulting. To Invite Me To Train & Inspire Your Team call: +2348034388462",,0,1.5,0,64.3,,
waxzce,"Quentin ADAM","Nantes, France","6,436","3,456","08 Apr 2009 08:57:59","29,031","15 Aug 2016 16:27:28","CEO @clever_cloud cloud Platform as a Service for node, scala, java, php, python, docker or ruby apps + DBaaS The best way to host your app, give it a try",http://www.clever-cloud.com/,32,25.5,44.5,63.4,,
eileenschuch,"eileen schuch",International,"11,749","9,840","24 Sep 2010 17:58:47","13,981","15 Aug 2016 21:23:53","Founder & CEO coolbrandz / liferox llc. #Influencer & #Talent Community #blogeditor #entrepreneur #speaker #digitalstrategist #blogger #consultant",http://www.coolbrandz.com,87.5,3.5,6.5,63.9,,
muchemi23,jonmchem,Nairobi,"2,209","2,588","17 Sep 2012 17:41:59","26,334","07 Aug 2016 15:44:03","CEO Johjan enterprises.Financial Analyst.The ultimate stain remover;no matter what you have done,let Jesus forgive you entirely.",,0,0,0,64.3,,
KingWallyy1,"The King.","straya, Australia","2,077","1,643","22 Jul 2014 11:28:39","73,428","15 Aug 2016 08:38:47","@BrisbaneBroncos Twitter CEO, #Trendsetter @ufc @Arsenal @lakers #BronxNation",,0,0,0,64.4,,
DannySchramm,"Danny Schramm","Los Angeles, CA","193,684",322,"06 Oct 2015 21:02:41",347,"29 Jul 2016 10:19:42","Danny Schramm Films CEO. @CityLab Co-founder. Entrepreneur & Business Expert. Creative Director. Business/press only: Danny@DannySchramm.com",http://www.DannySchramm.com,34,21.6,25.3,64.3,,
KevinJDonaldson,"Kevin J Donaldson","Brooklyn, New York City","51,532","48,623","07 Sep 2010 22:28:23","91,496","16 Aug 2016 00:51:47","CEO at @RWSolutionsInc, Man of Faith, Author, Life & Business Coach. I teach people how to overcome adversity & succeed in all areas of their lives.#TFB",http://about.me/KevinJDonaldson,51,4.5,0.5,64.3,,
KatheleenMitro,MitroGlobalLuxuryArt,"Daytona Beach,Florida","12,168","11,656","19 Dec 2011 20:04:30","13,548","16 Aug 2016 02:30:08","Artist - CEO @ Mitro Global Luxury Art - Extravagant Art For Discriminating Buyers http://www.mitrofineart.com/2013/11/who-is-mitro-fine-art.html Humanitarian",http://www.mitrofineart.com,77,22.5,1.5,64.3,,
Arspoeti,"Gadi Shimshon","Tel Aviv","24,529","2,007","14 Mar 2007 14:34:17","72,080","15 Aug 2016 17:10:07","Founder and CEO, Alef Digital Agency Was working online when you were born, kiddo. Old blog: http://arspoeti.wordpress.com",http://www.alefdigital.com,10,44.5,40,64.3,,
AABakkar,"د. عمار بكار","Dubai | Riyadh | Cairo| Dallas","22,069","1,147","22 Oct 2011 21:17:40","10,443","07 Aug 2016 19:40:02","CEO of Yes 2 Digital Group | الرئيس التنفيذي لمجموعة نعم للإعلام الرقمي",,22.6,36.7,20.6,64.3,,
BoostElles,"Goretty FERREIRA","Paris - France","5,330","3,339","23 Dec 2014 11:08:35","6,742","14 Aug 2016 16:48:46","CEO de l'Agence pour l'entreprenariat Féminin & Founder du programme BoostElles® ⎢#FemmesActives #Entrepreneuriat #TopManagement #Gouvernance #Mixité⎢#i4Emploi",http://entreprenariat-feminin.com/,25.5,51.5,20,63.2,,
khoderalama,"Khoder Alama",Lebanon,"49,298",76,"12 Feb 2010 20:12:07","2,870","08 Aug 2016 20:35:58","CEO of Backstage Production LTD| Exclusive Agent for the Super Star Ragheb Alama | https://t.co/0hWtZ50Tt3",http://backstageproduction.me,6.5,93.5,0.5,64.3,,
roddrury,"Rod Drury","New Zealand, USA, UK and AU","32,614",578,"19 Jun 2010 05:05:20","19,414","15 Aug 2016 23:32:37","CEO of Xero - Beautiful Accounting Software",http://xero.com,31.5,21,49,64.3,,
robertpelikan,"Robert-P. Pelikan","Planet Earth","17,652","2,276","10 Jan 2009 23:57:57","23,693","14 Aug 2016 10:23:00","Social Media Superhero | #Influencer | #Marketing Strategist | #Communication Manager | CEO @rebloon & @derktor | Co-Founder @streambaseco & @mprfeed",http://rebloon.com,97,0,1.5,64.3,,
GCGodfrey,"Gemma Godfrey",,"53,960","2,295","07 Oct 2010 11:37:47","6,897","11 Aug 2016 06:38:43","CEO of https://t.co/i1SAiQAsfB @MoolaTeam - helping you take control of your savings & investments. #FinTech Powerlist. Mum. Former Quantum Physicist. TV Contri",http://www.moo.la,71,9,14.5,64.2,,
TerrieWilliams,"Terrie M. Williams",,"8,579","2,747","24 Apr 2009 01:58:28","21,825","09 Aug 2016 03:35:46","Woman on the Move, Woman on Fire, Passionate Being of Humanity & Prosperity, CEO, Author, & Mental Health Activist",,34.5,48.5,7,64.2,,
Lolacebolla,"Lola #TobeOrnot","On Line","2,140","1,358","15 Oct 2011 14:33:46","53,258","15 Aug 2016 21:27:28","Agradecer cada día te cambia la vida. #Comunicación #Arquitecto #Emprender #EstrategiaDigital Fundadora y CEO @TobeOnlineC Participo @letralibre_es @empreanAEA",http://lolacebolla.webcard.es,0,0,0,64.3,,
TheGrandstandUS,"James R. Harrison","Twin Cities, Minnesota","8,287","6,575","08 Nov 2015 05:57:59","19,157","15 Aug 2016 20:20:36","Founder, President, & CEO of The Grandstand. National Sports Journalist. Former Syndicated Columnist @BleacherReport. Univ. of Nebraska & Minnesota educated.",http://TheGrandstandSports.com,26.5,7.5,21,64.2,,
aukia,"Petri Aukia","Helsinki, Finland","3,477","2,045","22 Mar 2009 13:06:25","25,116","14 Aug 2016 15:52:52","CEO, partner @Codento, #lean #opensource developers from #Helsinki. Would you like to work with us? http://t.co/B21FSCbVur",http://www.codento.com/,4.5,50,44,64.3,,
EBurdier,Eric,"On the road, FrenchTech valley","3,035","1,188","26 May 2011 11:21:34","12,062","13 Aug 2016 07:45:35","CEO & Co-founder at @axeleo_fr, 1st @lafrenchtech accelerator for B2B tech startups. Father of dragons & @OpenInnoARA, in love with @TellMePlus @tilkeeapp",http://www.axeleo.com,25.5,69.5,3,64.2,,
sudischuricht,"diane schuricht",,"4,138","3,641","06 Jun 2014 17:40:27","125,485","16 Aug 2016 03:58:36","anti OBAMA Bring serial killer ALEX GORSKY CEO J&J to justice for MURDER W DEADLY PRODUCTS. TAKE BACK OUR COUNTRY. MESH advocate & VICTIM. GO TRUMP",,0,98.5,1.5,64.3,,
jongnins,yuli,,"3,696",125,"04 Sep 2014 02:40:23","35,949","15 Aug 2016 21:03:44","sekai, double b and @trblchanyeol devotee",,34,41.5,11,64.1,,
lourdes_pico,Lou,Alicante,"3,029","1,873","26 Dec 2011 16:08:30","7,361","05 Aug 2016 07:28:53","Blogger, Enfermera y Mami Triple Mail: lou@pintandounamama.es Instagram: https://t.co/Q2sr7GD8dx CEO @pintandounamama @scrappingdos",http://www.scrappingparados.com/,20,68.5,9.5,64.2,,
CraigBennett3,"Craig Bennett",London/Cambridge,"7,123","2,965","10 Sep 2011 16:18:31","15,687","09 Aug 2016 20:35:49","CEO, Friends of the Earth (England, Wales and N Ireland), Board member FOE Europe. Policy Fellow, Uni of Cambridge. Lecturer at several uni's & business schools",http://www.foe.co.uk,26,59,9,64.2,,
Billie3Bands,"BILLIE BANDS","WHEREVER THE MONEY AT , TX","12,018",992,"10 Sep 2011 17:23:04","76,874","15 Aug 2016 18:35:20","(Formerly known as Ace Young'n) artist . ceo. breadwinner. | @goldmindz_ | all social media :billie3bands ✉️business.goldmindz@gmail.com",http://soundcloud.com/billie3bands,19.5,44,20.5,64.2,,
MichaelLucasNYC,"Michael Lucas","New York City","61,778","6,167","24 Mar 2009 15:54:11","5,840","12 Aug 2016 17:55:00","Founder and CEO of Lucas Entertainment. Also, I have opinions.",http://michaellucas.com,12.6,86.4,1.5,64.2,,
kefukar,"Savaş DOĞAN","İstanbul | Turkey","3,555",737,"22 Jul 2010 07:04:36","29,412","14 Aug 2016 08:40:57","CEO / BTOS http://btos.com.tr - Bilişim İnsan Kaynağı - Bilişim Danışmanı",http://www.savasdogan.net,54.5,9,16.5,63.5,,
PedroCastilloLT,"Pedro Castillo",Spain,"5,461",133,"08 Feb 2012 09:38:23","1,964","11 Aug 2016 20:15:18","Founder & CEO at @logtrust, #Bigdata & #analytics simplified. Proud father and an eager traveller. Time flies!",http://www.logtrust.com,69,31,0,64.2,,
CooLQ8y,"Eng Faisal Alghareeb","Kuwait || Instagram @CooLQ8y","47,358",873,"22 Apr 2012 11:07:21","12,106","09 Aug 2016 18:25:33","Owner of CooLQ8y & CEO of DanDen Co. Mechanical Eng Kuwait Unv. Eng & Petr. College Email: Faisal@CooLQ8y.com",http://www.CooLQ8y.com/App,26.8,26.8,32.3,64.2,,
serkantoto,"Dr. Serkan Toto","Tokyo, Japan (since 2004)","13,174",770,"18 Nov 2007 08:52:28","18,614","03 Aug 2016 11:21:56","Believer in Japan. CEO of Tokyo-based game industry consultancy https://t.co/TJNNWj6bPN. Economics PhD. Ex-慶應義塾大学. 7-lingual. German national.",http://www.serkantoto.com,33.5,0,44,64.1,,
plpm,"Pedro Luis Prince M.","New York & Miami Florida","14,918","13,070","12 Sep 2009 15:16:40","26,204","12 Aug 2016 23:13:41","CEO @ MobilSocial, Miami, FL",http://www.mobilsocial.com,88.5,3,1,64.1,,
Alex_MendozaMX,"∆lex Mendoza","Toluca, México","30,828","19,699","22 Oct 2009 00:44:02","16,016","12 Aug 2016 05:29:17","CEO ∆|X™ Company- Elegante, inteligente,cabrón y mamón. ¿Cursi? Sólo contigo MI REYNA :) #Influencer Contacto:amendoza.go.es@gmail.com",https://www.facebook.com/amendozagarcia.go,43,11.5,15,64.1,,
JamesZhangNY,"James Zhang","Minato-ku, Tokyo","103,266",490,"25 Apr 2015 00:09:05",947,"10 Aug 2016 15:49:26","Your Daily Tech Digest✨ CEO's Office @Rakuten, @TechStars Mentor, Ex-Unicorn China CEO/R&D @PowaTechLtd, VC, @Samsung, @KPMG, #travel 52 countries, 4.53 @Uber〽️",http://james-zhang.me,38,54,9,64.1,,
KrohnTraaseth,"Anita Krohn Traaseth","Oslo, Norway","37,967","6,011","10 Jan 2010 12:21:13","29,772","06 Aug 2016 20:56:49","CEO of @InnovasjonNorge - the Norwegian Government's most important instrument for innovation and dev of Norwegian enterprises and industry. Blogger & writer",http://tinteguri.com/,27.5,27,47,64.1,,
JeanYves_K,"IKŌNE AGENCY",Paris,699,450,"21 Feb 2011 00:34:50","16,896","10 Aug 2016 10:43:25","CEO & Réalisateur #IKÔNEAGENCY | Contact • ikoneagency@gmail.com IG • JeanYves_k",http://www.ikoneagency.com,0,0,0,64.1,,
IamDebraLee,"Debra Lee","DC, NY","71,893",804,"17 Oct 2012 23:59:19","8,031","08 Aug 2016 00:58:41","Proud Mother of my children, Chairman & CEO of @BET.",http://bet.com,47,40.5,4.5,64.1,,
JohnJGentry,"John J Gentry","Fairbanks, AK","70,810","38,729","27 Oct 2008 13:04:14","165,111","16 Aug 2016 03:00:09","Helping to inspire others! Adventurist, and blogger with http://ExploreTraveler.com http://JohnGentry.ceo",http://johnjgentry.com,9,91,0,64.1,,
eduardo_LACS,"Eduardo Goncalves",Godalming,"6,586","6,849","22 Oct 2009 21:49:33","2,657","09 Aug 2016 21:40:25","CEO League Against Cruel Sports. Killing or harming animals for 'entertainment' has no place in today's world. Own views.",http://www.league.org.uk,89,5.5,10,64.1,,
srichard,"Stéphane Richard",,"22,400",193,"10 Feb 2014 13:44:46",194,"28 Jul 2016 19:36:54","Chairman and CEO @orange",http://www.orange.com,64.9,4.1,0.5,64.1,,
MikeGordonRyan,"Mike Ryan","San Francisco","295,370","62,143","25 Mar 2011 22:43:23","36,102","15 Aug 2016 02:37:20","Husband, Dad of 3, http://peerwell.co Frm hosp CEO, Sudden Cardiac Arrest, @WhiteHouse Intern, ❤️American Heart Assoc ❤ Board http://tinyurl.com/jmfhueu",https://www.linkedin.com/in/mikeryan,47,46.5,13.5,64.5,,
Pablo_Suarez_T,"Pablo Suárez",Sevilla,"2,860","2,161","20 Dec 2012 11:47:28","1,859","08 Aug 2016 20:05:20","CEO de @Aselio_LOPD Consultor en #LOPD y #LSSI Me interesan el #SEO y el #Marketing Mis tweets son a título personal.También en Linkedin http://t.co/VVXxOBbint",http://www.aselio.es,84.5,15.5,0,64.1,,
maineber,"maine beristain",,"1,717","1,697","19 Apr 2010 09:34:17","18,316","15 Aug 2016 11:18:33","Kazetaria, Diseinatzaile Grafikoa, S.M. Managera. Periodista, Diseñadora Gráfica, Social Media Manager. CEO de IRUDHITZ #Branding #DiseñoGráfico #SociaMedia",http://www.irudhitz.com,0,0,0,64.1,,
ErnolaJari,"Jari Ernola","Högsåra/Kirkkonummi, Finland","3,243","3,007","10 Mar 2012 07:33:55","14,620","15 Aug 2016 06:14:28","#Entrepreneur #CEO #Invest #StartUp #SaaS #IoT #ICT #WorkPlace #Cleantech #Wellness #Archipelago #Sailing #Sport #HCTPS #FCTPS English,Deutsch,Svenska,Suomi",http://www.jesinvest.fi,31.5,18,41,64.1,,
BlackMedia,"Black Media","iPhone: 12.934616,100.873093","21,592",338,"21 Feb 2009 23:55:15","3,646","02 Aug 2016 19:22:18","A look into the daily happenings of Black Media's CEO, Srawat Sunny Promyotin. Multi-instrumentalist, Vocalist, Producer, Photographer, Artist & Entrepreneur.",http://youtube.com/BlackMediaPresents,23.5,40.5,24,64.1,,
mikegmusik,MikeG,Worldwide,"22,512",154,"13 Jun 2009 11:10:13","30,888","03 Aug 2016 05:27:31","Ceo of Gmuzik Group I Certified Hustla I VCR Capo Bookmikeg@gmail.com",http://www.gmuzik.tv,28,28,6,64,,
CASHL3WIS,"CASH L3WIS","Rocklin, CA","138,084","49,112","30 Jun 2009 01:56:08","21,897","11 Aug 2016 11:22:08","Official CASH L3WIS Twitter page. | Farmer. Paul Blart. Grammy Award Losing Rapper. Founder/CEO @ESOT3RIK (Call/Text +19166340344)",http://CASHL3WIS.COM,30.5,0.5,47.5,64,,
ChicagoGupta,"Chirag Gupta","Texas, USA","2,567",1,"13 Apr 2009 06:29:54","20,073","12 Aug 2016 14:16:19","Founder + CEO of NōD Coworking (@nodDFW)",http://chicagogupta.com,32,47,32,64,,
JCBOYD_SPORT360,"Juan Carlos Boyd",Panama,"6,178",997,"27 May 2011 06:50:16","72,060","16 Aug 2016 00:48:09","Presidente/CEO SPORTS 360 Experto: MLB, NFL, NBA, NCAA Creador del ¡JAMBALAYA! Sports Mgt, TV Host, Apoyo el Flag, Soy Full Basket Beisbol y Football Americano",,13,36.5,21,64.3,,
MayellaLloyd,"Mayella Lloyd",Panamá,"9,182",704,"21 Jun 2010 23:42:39","12,670","14 Aug 2016 00:24:20","Periodista, Consultora de Comunicación CEO @MLGabineteCom & Executive Director @IepiPanama Communications, Art, Music, Reader, Traveller, My word: THRIVE",https://www.facebook.com/MayellaLloydSaavedra,15.7,51.3,27.4,64,,
rachelk71835486,FreeMoneyWes,MTERECORDS,262,0,"18 May 2016 07:03:59","2,758","11 Aug 2016 02:15:07","CEO/ARTIST OF MTE RECORDS Booking:MoneyWesBookings@gmail.com #FreeMoneyWes #MiamiRapper",,0,0,0,64,,
Tariq_NPH,"Tariq Sbiet","In The Gym.","7,319",998,"25 Nov 2009 03:16:50","55,349","11 Aug 2016 02:37:14","Canadian National Scout | @NorthPoleHoops | Basketball Marketing | CEO North Pole Media Inc | Inspiration is the spark plug to success Tsbiet@northpolehoops.com",http://www.NorthPoleHoops.com,6.5,89.5,0.5,64,,
RapperViper,Viper,"Rapper / Producer/ Broker/ CEO","84,113","50,022","22 Jun 2013 13:49:05","1,595","26 Jul 2016 15:26:05","Entrepreneur, Rapper, Pianoist, Real Estate Agent/Broker (Broker In 2017), Alcor Life Extension Member, 5-9 Piru Member",http://WorldRapStar.com/FreeMovers.com,95,0,0,64,,
merceyellow,"Merce Sanjuan",,"13,720","1,172","16 Jul 2009 13:14:02","19,933","09 Aug 2016 18:57:03","Fundadora y CEO de @GordonSeen & @vistolovistotv.Creadora y realizadora de sueños.Todo es posible hasta que te demuestras lo contrario. Ironman. Youtuber",http://www.youtube.com/user/mercesanjuan,14.5,22,60.5,64,,
AdvertGirl,"Denise Blasevick",Jersey,"37,954",430,"09 May 2010 01:27:41","14,538","12 Aug 2016 15:30:57","Battler of boring advertising, PR & social media. CEO @theS3agency. Marketing makeovers @MSNBCYourBiz. Nice to tweet you.",http://theS3agency.com,65.5,11.5,21.5,64,,
SusanWojcicki,"Susan Wojcicki","Mountain View CA","59,808",292,"12 Aug 2008 21:24:11",472,"09 Aug 2016 19:03:33","YouTube CEO",http://www.youtube.com,73,14.5,3,64,,
FlickReynolds,"Felicity Reynolds","Sydney, Australia","6,790","4,509","22 Apr 2009 04:19:31","26,679","03 Aug 2016 06:19:06","CEO of NFP & social justice advocate working to end #homelessness. Vegetarian who's fond of animals. Tweets are personal views. Zero tolerance for trolls.",,4,9,39.5,64,,
smkku,"Park Su Min","하늘과 땅사이에","75,005",235,"28 May 2010 05:01:54","7,683","03 Aug 2016 04:50:57","-WAWA DANCER -DAKEYA(たけや)CEO 신사동541-9 B1 다케야",,91.5,0.5,8,64,,
laurent_rousset,laurent_rousset,lyon,"2,421","3,742","14 Dec 2013 22:07:56","8,008","15 Aug 2016 21:38:13","CEO @idyze / Help startup make their web project reality without spending too much time and money / Contact Me @ https://idyze.youcanbook.me/",https://www.idyzelabs.fr,11,89,0,64.1,,
DannyG_inkster,"Danny Gibson","Toronto, CA","53,418","36,732","19 Jun 2014 18:33:37","2,825","12 Aug 2016 17:00:03","CEO & Co-Founder of @_inkster_ Visionary.Leader.Artist & a Student. Founder of @WeAre_TheOnly https://t.co/K8A9SAsPNQ",http://inkster.com,55,20.5,22.5,63.7,,
lilianblankson,"Lilian N. Blankson",WORLDWIDE,"9,851",652,"10 Apr 2009 15:41:50","48,210","03 Aug 2016 13:47:53","Christian's Mom, CEO LNB Entertainment - House Of Artist @IAMWONDABOY/ Writer/Producer/Director/ African Entertainment Enthusiast",,26.5,64,6.5,64,,
CharlesSpecht,"Charles Specht","Los Angeles, CA","25,488","15,440","22 Mar 2011 06:42:58","34,073","12 Aug 2016 17:16:45","Senior Pastor at @iiichurch * CEO of http://Permisssion.com * Married to Kathy w/5 kids * Crushing the Comfort Zone, 24/7. #Packers fan! #Fitness",http://www.CharlesSpecht.com/revealed,31.5,2.5,40.5,64,,
XavierMarcet,"Xavier Marcet","Barcelona - Boston - Santiago","4,412",193,"26 Nov 2011 09:06:00","18,800","12 Aug 2016 11:25:12","Strategic innovation consultant CEO at Lead To Change (LTC) Founder and President Barcelona Drucker Society",http://www.xaviermarcet.com,45,53,0,62.1,,
shintabubu,"Shinta Dhanuwardoyo","Jakarta, Indonesia","44,116",176,"24 Aug 2007 09:39:40","4,252","10 Aug 2016 23:42:00","A tech entrepreneur, CEO/Founder at https://t.co/mJf58oxiSx, Mentor & Angel Investor, Indonesian Batik lover & Collector. 99 Most Powerful Women by Globe Asia",http://www.batikantik.com,16.5,74.5,8.5,63.9,,
ALMANSOUR_MOHD,"محمد عبدالله المنصور","الدمام ... مدينتي الجميلة","4,659",298,"15 Sep 2010 05:59:42","13,420","03 Aug 2016 16:03:49","‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏‏خبرة ثلاثة عقود في ارامكو السعودية - مستشار وزير الصحة للتطوير التنظيمي (سابقا )- حاليا A new CEO -‏‏‏مؤلف كتاب (القفز خارج الصندوق )",,15.5,80,4.5,63.9,,
PimpinPapii,"HD Mikey","Simple Cityyyy","7,903","2,374","05 Jul 2013 19:07:30","58,788","12 Aug 2016 02:38:41","CEO of HD Mafia IG @hd_Mikey Snapchat:hd_mikey1 #Simp#USMFOR Bookings & Features Contact :@HDMAFIABIZ@gmail.com.",http://spnr.la/rVl5bTe0,7.6,80.8,5.1,63.9,,
pivotalpaul,"Paul Dix",UK,"11,870","11,901","15 Feb 2009 21:06:50","17,747","05 Aug 2016 04:30:13","Behaviour specialist, speaker, teacher wrangler, writer, difficult child, CEO Pivotal Education, Podcast https://t.co/ItD3krunlg Chair of TBAP Trust",http://www.pivotaleducation.com,12.5,55,29.5,63.9,,
Kaan_Terzioglu,"Kaan Terzioğlu",,"17,187","2,147","01 Jun 2009 23:10:30","6,647","07 Aug 2016 15:03:23","Turkcell Genel Müdürü - CEO @Turkcell",http://www.turkcell.com.tr,21.7,60.1,2.5,63.9,,
TRizld10,"TrelDYoung♎️™","Amarillo, TX","4,635","5,092","10 Jul 2009 23:46:14","207,054","15 Aug 2016 09:58:42","YK•BLURB•CEO•Entrepreneur•SelfMade •ForexTrader•GlobalVisionairez•DreamChaser••YoungEnterprise•The Legendary Snap: trizld_10",http://Instagram.com/trizld.10/,1.5,92,0.5,64,,
NathanHChan,"Nathan Chan","Melbourne, Australia","15,121","9,041","28 Feb 2012 09:24:21","3,849","15 Aug 2016 11:01:06","Publisher & CEO of @FoundrMag. Entrepreneur & Dreamer. Check out the FREE Branson issue at https://t.co/DBqJkEaNqP",,92,2,14.5,63.9,,
javiwankenobi,"Ingeniero Cachetes","Hermosillo, Sonora","27,412","1,589","22 Nov 2007 18:03:46","44,500","14 Aug 2016 20:12:44","CEO de Hermosillo. Celebridad atrapada en cuerpo clasemediero. Modelo de boxers y mentiroso ocasional.Tweets tan malos que le pegan a los tweets mas chicos.",http://www.snapchat.com/add/javiwankenobi,15.5,12.5,53.5,63.9,,
